NO.,NAMA KONTRAKTOR,Gred,NEGERI,DERAH,NO.TELEFON,NO.FAKS,PPK,SPKK,STB,EXPIRY DATE
618,A.A.A.O CONSTRUCTION,G1,SARAWAK,KUCHING,019-7144511,0,Yes,Yes,NO STP,30/05/2025
619,A.A.F. ENTERPRISE,G1,MELAKA,ALOR GAJAH,01-05196773,NO FAX,Yes,Yes,Yes,01/03/2024
620,A.A.I MAJU JAYA ENTERPRISE,G1,KEDAH,YAN,01-11455924,NO FAX,Yes,Yes,Yes,19/06/2026
621,A.A.JAYA ENTERPRISE,G1,PULAU PINANG,BARAT DAYA,048664058,-,Yes,Yes,Yes,11/03/2025
622,A.A.R RESOURCES,G1,PAHANG,PEKAN,01-05756439,NO FAX,Yes,Yes,Yes,15/03/2024
623,A.A.S.ENTERPRISE,G1,TERENGGANU,SETIU,01-29869865,096090760,Yes,Yes,Yes,29/05/2024
624,A.ANAS ENTERPRISE,G1,PULAU PINANG,TIMOR LAUT,01-74341667,NO FAX,Yes,NO SPKK,NO STP,15/10/2025
625,A.AZIZ ENTERPRISE,G1,NEGERI SEMBILAN,JELEBU,064914934,-,Yes,Yes,Yes,15/08/2024
626,A.B CUN ENTERPRISE,G1,SARAWAK,KUCHING,014-8806010,NO FAX,Yes,Yes,NO STP,11/11/2025
627,A.B ENTERPRISE,G1,SARAWAK,Serian,01114089144,NO FAX,Yes,NO SPKK,NO STP,13/12/2023
628,A.B. ABQHARI SDN. BHD.,G2,WILAYAH PERSEKUTUAN KUALA LUMPUR,KUALA LUMPUR,0390543002,03-90593525,Yes,Yes,Yes,14/08/2024
629,A.B.H.S ENTERPRISE,G1,PERLIS,PERLIS,04-9384592,-,Yes,Yes,Yes,12/10/2024
630,A.B.HALI ENTERPRISE,G1,JOHOR,KLUANG,0164510110,-,Yes,Yes,Yes,16/03/2025
631,A.B.I ENTERPRISE,G1,SARAWAK,Asajaya,01157781848,NO FAX,Yes,Yes,Yes,09/11/2025
632,A.B.I. MAJU EMPIRE,G1,WILAYAH PERSEKUTUAN KUALA LUMPUR,KUALA LUMPUR,01-3685766,NO FAX,Yes,Yes,Yes,02/08/2026
633,A.B.J.ENTERPRISE,G2,JOHOR,JOHOR BAHRU,0136130201,-,Yes,Yes,Yes,03/12/2025
634,A.B.M CONSTRUCTION & TRADING,G1,KEDAH,PENDANG,04-7846111,04-7846111,Yes,Yes,Yes,31/03/2024
635,A.B.M ENTERPRISE,G1,SARAWAK,KUCHING,019-8888523,0,Yes,Yes,Yes,02/01/2026
636,A.B.S. UNGGUL ENTERPRISE,G1,SARAWAK,Lawas,014-8938123,-,Yes,NO SPKK,NO STP,17/02/2025
637,A.B.U HAYAT SDN. BHD.,G7,PULAU PINANG,SEBERANG PERAI TENGAH,043971884,043971886,Yes,Yes,Yes,13/06/2025
638,A.B.U. LINE SDN. BHD.,G3,PULAU PINANG,SEBERANG PERAI TENGAH,043988794,043988795,Yes,Yes,Yes,10/02/2024
639,A.C JAYA ENTERPRISE,G2,SABAH,Papar,016-5877053,0,Yes,NO SPKK,NO STP,12/10/2025
640,A.C KRANG ENTERPRISE,G2,SARAWAK,Simunjan,012-8508619,0,Yes,Yes,NO STP,23/08/2026
641,A.C TRUSTED ELECTRICAL SERVICE COMPANY,G2,SABAH,KOTA MARUDU,0,-,Yes,Yes,Yes,17/09/2024
642,A.C.A.S. BERKAT ENTERPRISE,G2,SELANGOR,PETALING,0126100042,NO FAX,Yes,Yes,NO STP,03/05/2025
643,A.C.E. ENTERPRISE,G1,TERENGGANU,KUALA TERENGGANU,09-6263505,NO FAX,Yes,NO SPKK,NO STP,07/07/2026
644,A.C.T. PLASTER CEILING SDN. BHD.,G1,SABAH,TAWAU,089915997,089915997,Yes,NO SPKK,NO STP,23/06/2024
645,A.C.U ENTERPRISE,G2,SABAH,Tuaran,019-8203303,-,Yes,NO SPKK,NO STP,06/03/2024
646,A.CAH ENTERPRISE,G1,SARAWAK,KUCHING,016-5721413,NO FAX,Yes,NO SPKK,NO STP,10/02/2025
647,A.D ADAN ENTERPRISE,G1,SARAWAK,KUCHING,014-9962849,NO FAX,Yes,Yes,NO STP,25/01/2025
648,A.D ENTERPRISE,G3,SABAH,SANDAKAN,089-212262,NO FAX,Yes,Yes,Yes,21/02/2025
649,A.D LINE ENTERPRISE,G1,SARAWAK,KUCHING,011-1210768,NO FAX,Yes,Yes,Yes,05/01/2025
650,A.D TRADING,G2,SABAH,LAHAD DATU,000-0000,NO FAX,Yes,NO SPKK,NO STP,27/06/2025
651,A.D. ENTERPRISE,G1,SARAWAK,Simunjan,016-8897501,NO FAX,Yes,NO SPKK,NO STP,07/03/2024
652,A.D. INTERIOR CONCEPT SDN. BHD.,G5,WILAYAH PERSEKUTUAN KUALA LUMPUR,KUALA LUMPUR,03-92873227,03-92873236,Yes,NO SPKK,NO STP,20/09/2026
653,A.D. LOGISTIC ENTERPRISE,G1,SELANGOR,KUALA LANGAT,01-66548847,NO FAX,Yes,Yes,Yes,13/04/2024
654,A.D. MAINLEAD ENTERPRISE,G1,SELANGOR,PETALING,03-83228280,03-83228180,Yes,Yes,Yes,15/08/2026
655,A.D.A. SERI LEGACY,G1,JOHOR,JOHOR BAHRU,01111442796,NO FAX,Yes,Yes,Yes,11/10/2024
656,A.D.B ENTERPRISE,G1,SABAH,SIPITANG,013-8341143,00,Yes,NO SPKK,NO STP,18/11/2025
657,A.D.ENAM ENTERPRISE,G1,TERENGGANU,DUNGUN,0148341514,0,Yes,Yes,Yes,23/04/2026
658,A.D.F. RANIA ENTERPRISE,G1,SARAWAK,KUCHING,019-4409770,NO FAX,Yes,NO SPKK,NO STP,13/02/2025
659,A.D.JAYA ENTERPRISE,G1,PERAK,HILIR PERAK,0164210158,-,Yes,Yes,Yes,08/09/2024
660,A.D.K CONSTRUCTION,G6,SARAWAK,KUCHING,016-5761405,0,Yes,Yes,Yes,11/05/2024
661,A.D.L ENTERPRISE,G1,SARAWAK,KUCHING,013-8113119,016-8951302,Yes,NO SPKK,NO STP,16/11/2025
662,A.D.M  KONTRAKTOR & ELEKTRIKAL,G1,SABAH,Kota Belud,0168800525,-,Yes,NO SPKK,NO STP,20/01/2025
663,A.D.R RESOURCES,G1,TERENGGANU,HULU TERENGGANU,01-79772950,NO FAX,Yes,Yes,Yes,14/06/2025
664,A.D.S CONSTRUCTION,G2,SARAWAK,KUCHING,0138166158,0,Yes,Yes,NO STP,11/01/2024
665,A.D.S ELECTRICAL COMPANY,G2,SARAWAK,KUCHING,014-6922120,0,Yes,Yes,Yes,06/07/2026
666,A.D.S ENTERPRISE,G2,SABAH,BEAUFORT,0168422176,-,Yes,NO SPKK,NO STP,14/05/2025
667,A.E CARLINA LEGACY ENTERPRISE,G1,SABAH,Nabawan,016-6776211,NO FAX,Yes,NO SPKK,NO STP,08/11/2025
668,A.E ENTERPRISE,G1,SABAH,LAHAD DATU,016-3444955,-,Yes,NO SPKK,NO STP,22/08/2024
669,A.E LEGACY CONSTRUCTION,G2,SARAWAK,KUCHING,012-8200211,NO FAX,Yes,Yes,Yes,29/07/2024
670,A.E. ARIFF ENTERPRISE,G1,SARAWAK,LIMBANG,085212241,085212241,Yes,Yes,Yes,21/01/2026
671,A.E. ENTERPRISE,G1,SARAWAK,MARUDI,0148-899442,NO FAX,Yes,NO SPKK,NO STP,10/10/2024
672,A.E.SERVICE,G2,PULAU PINANG,SEBERANG PERAI TENGAH,04-5383553,04-5383553,Yes,NO SPKK,NO STP,13/10/2024
673,A.E.W. CONSTRUCTION  SDN. BHD.,G7,SABAH,Kota Kinabalu,088425251,088429385,Yes,NO SPKK,NO STP,17/02/2025
674,A.F. BERKAT JELI ENTERPRISE,G1,KELANTAN,JELI,01-39822191,NO FAX,Yes,Yes,Yes,22/08/2025
675,A.F. CONDITION MONITORING (M) SDN. BHD.,G6,WILAYAH PERSEKUTUAN KUALA LUMPUR,KUALA LUMPUR,03-62734078,03-62734080,Yes,Yes,Yes,01/03/2024
676,A.F. PREMIUM TRADING,G1,KELANTAN,PASIR PUTEH,0,NO FAX,Yes,Yes,Yes,16/12/2024
677,A.F.R ENTERPRISE,G1,SARAWAK,KUCHING,017-8010194,NO FAX,Yes,Yes,NO STP,04/01/2024
678,A.F.S ENGINEERING (SARAWAK) SDN. BHD.,G7,SARAWAK,,08-2429266,NO FAX,Yes,NO SPKK,NO STP,04/10/2024
679,A.F.S.ENGINEERING (MALAYSIA) SDN. BHD.,G7,SELANGOR,PETALING,03-80630281,03-80522741,Yes,Yes,NO STP,11/02/2026
680,A.F.U MN ENTERPRISE,G1,PAHANG,KUANTAN,0,0,Yes,Yes,Yes,11/05/2024
681,A.G. ENTERPRISE,G1,SARAWAK,PAKAN,0111516568,-,Yes,NO SPKK,NO STP,27/03/2024
682,A.G.H ENTERPRISE,G1,KEDAH,KUBANG PASU,04-9170193,-,Yes,Yes,Yes,15/09/2025
683,A.G.SHIM ENTERPRISE,G1,MELAKA,ALOR GAJAH,01-66907961,-,Yes,Yes,Yes,26/06/2025
684,A.H BERJAYA,G2,SABAH,Papar,019-6427479,0,Yes,NO SPKK,NO STP,27/02/2025
685,A.H DAMAI BAKTI ENTERPRISE,G1,KEDAH,YAN,01-75900801,NO FAX,Yes,Yes,Yes,01/06/2026
686,A.H JAYA ENTERPRISE,G1,SARAWAK,Serian,019-8358313,0,Yes,NO SPKK,NO STP,14/12/2023
687,A.H SINAR BINA,G1,WILAYAH PERSEKUTUAN KUALA LUMPUR,KUALA LUMPUR,01-35375913,-,Yes,Yes,Yes,29/05/2026
688,A.H. GLOBAL ENTERPRISE,G1,PERLIS,PERLIS,01-95488888,0,Yes,Yes,Yes,18/06/2026
689,A.H. LAKSANA ENTERPRISE,G1,SELANGOR,KUALA SELANGOR,01-93385913,NO FAX,Yes,Yes,Yes,30/01/2026
690,A.H. MEGA ENTERPRISE,G1,PULAU PINANG,SEBERANG PERAI SELATAN,01-94742770,NO FAX,Yes,Yes,Yes,16/04/2025
691,A.H. MEGAH LEGACY,G1,KELANTAN,PASIR MAS,0,0,Yes,Yes,Yes,20/02/2024
692,A.H.AYUB ENTERPRISE,G2,WILAYAH PERSEKUTUAN KUALA LUMPUR,KUALA LUMPUR,0391738240,0362594036,Yes,Yes,Yes,15/04/2024
693,A.H.D EXCLUSIVE RIGHT SDN. BHD.,G4,KELANTAN,KOTA BHARU,01-39221885,-,Yes,Yes,Yes,12/07/2026
694,A.H.L. CONSTRUCTION,G2,PERAK,KINTA,01-86638191,NO FAX,Yes,NO SPKK,NO STP,22/10/2026
695,A.I ENTERPRISE,G2,SABAH,Kota Belud,019-7900236,NO FAX,Yes,NO SPKK,NO STP,15/08/2025
696,A.I JAYA ENTERPRISE,G1,SABAH,PITAS,013-5400230,NO FAX,Yes,NO SPKK,NO STP,14/04/2024
697,A.I VISION TECH,G2,SABAH,TAWAU,010-6516606,NO FAX,Yes,Yes,Yes,12/09/2024
698,A.I. JANA NIAGA,G1,PAHANG,TEMERLOH,01-45417795,NO FAX,Yes,Yes,Yes,23/11/2024
699,A.I. TEGUH ENTERPRISE,G1,JOHOR,LEDANG,01-76474354,NO FAX,Yes,Yes,Yes,27/06/2024
700,A.I. TOTAL ENGINEERING SDN. BHD.,G5,SELANGOR,Hulu Langat,03-87370163,03-87370159,Yes,Yes,Yes,26/06/2025
701,A.I.A. KEUNGGULAN RESOURCES,G1,TERENGGANU,DUNGUN,09-6091880,NO FAX,Yes,Yes,Yes,28/11/2023
702,A.I.D Enterprise,G1,SARAWAK,SIBU,017-8070308,NO FAX,Yes,Yes,NO STP,13/06/2024
703,A.I.D. INTERIOR DESIGN,G1,WILAYAH PERSEKUTUAN KUALA LUMPUR,KUALA LUMPUR,0,NO FAX,Yes,NO SPKK,NO STP,04/07/2024
704,A.I.M. RIZQ ENTERPRISE,G1,PAHANG,BENTONG,01-95893439,NO FAX,Yes,Yes,Yes,18/02/2024
705,A.I.N ENTERPRISE,G1,PULAU PINANG,BARAT DAYA,0,0,Yes,Yes,Yes,08/10/2026
706,A.I.N.S. GLOBAL VENTURE,G1,TERENGGANU,KUALA TERENGGANU,01-39288197,NO FAX,Yes,Yes,Yes,08/12/2024
707,A.I.S industry enterprise,G1,SABAH,Kota Kinabalu,113-7105583,NO FAX,Yes,NO SPKK,NO STP,12/08/2024
708,A.J BINA TEGUH RESOURCES,G1,PERAK,BATANG PADANG,01-25176447,NO FAX,Yes,Yes,Yes,04/12/2025
709,A.J ENTERPRISE,G1,SABAH,Ranau,010-3930957,010-3930957,Yes,NO SPKK,NO STP,13/12/2024
710,A.J ENTERPRISE,G2,SABAH,Ranau,0198809995,-,Yes,NO SPKK,NO STP,31/07/2024
711,A.J HOLDING,G1,SABAH,Ranau,088-878258,NO FAX,Yes,NO SPKK,NO STP,01/03/2025
712,A.J ILYASHAH CO,G1,SABAH,Beluran,089219281,089219281,Yes,Yes,Yes,09/12/2023
713,A.J MEGA JAYA ENTERPRISE,G1,SARAWAK,Dalat,012-8819094,NO FAX,Yes,NO SPKK,NO STP,15/09/2024
714,A.J RESOURCES,G3,SELANGOR,PETALING,01-92184357,NO FAX,Yes,NO SPKK,NO STP,21/03/2024
715,A.J. CONTRUCTION,G2,SABAH,SEMPORNA,013-8719919,089-781032,Yes,Yes,Yes,01/08/2025
716,A.J.BERKAT ENTERPRISE,G1,TERENGGANU,MARANG,0139392452,-,Yes,Yes,Yes,16/02/2026
717,A.J.C.J. Enterprise,G2,SARAWAK,KUCHING,014-8831603,NO FAX,Yes,NO SPKK,NO STP,19/09/2025
718,A.K NG TILING CONSTRUCTION WORKS,G3,KEDAH,KOTA SETAR,04-7321778,04-7321778,Yes,NO SPKK,NO STP,10/09/2024
719,A.K RESIDENTIAL SERVICES SDN. BHD.,G5,KELANTAN,KOTA BHARU,097438686,097438585,Yes,NO SPKK,NO STP,19/09/2024
720,A.K. BINA JAYA ENTERPRISE,G1,TERENGGANU,SETIU,0,NO FAX,Yes,Yes,Yes,05/01/2025
721,A.K. CHIN ENTERPRISE,G2,SARAWAK,KUCHING,014-5909818,NO FAX,Yes,NO SPKK,NO STP,23/01/2027
722,A.K. KLASIKA RESOURCES,G1,TERENGGANU,DUNGUN,-,NO FAX,Yes,Yes,Yes,01/03/2026
723,A.K. MAJU GLOBAL RESOURCES,G1,PERAK,PERAK TENGAH,01-43048756,NO FAX,Yes,Yes,Yes,05/10/2025
724,A.K. SETIA BINA SDN. BHD.,G7,SARAWAK,,08-8275227,08-8205227,Yes,Yes,Yes,10/07/2024
725,A.K.A RESOURCES (M) SDN. BHD.,G5,SELANGOR,PETALING,0,NO FAX,Yes,NO SPKK,NO STP,09/06/2026
726,A.K.CONSTRUCTION ENGINEERING,G3,PERAK,KERIAN,05-7163876,-,Yes,NO SPKK,NO STP,18/08/2025
727,A.K.K. ENGINEERING SDN. BHD.,G7,JOHOR,JOHOR BAHRU,07-2543511,-,Yes,Yes,NO STP,21/11/2025
728,A.K.S. HOLDINGS SDN. BHD.,G1,SARAWAK,BINTULU,086-339085,086-339058,Yes,Yes,Yes,17/09/2024
729,A.K.T. CENTURY SDN. BHD.,G5,SELANGOR,KLANG,03-33191320,03-33239983,Yes,NO SPKK,NO STP,06/07/2025
730,A.L ELECTRICAL AND AIRCOND SERVICES,G1,SELANGOR,PETALING,01-96911698,NO FAX,Yes,Yes,Yes,27/04/2024
731,A.L TEGUH ENTERPRISE,G1,TERENGGANU,HULU TERENGGANU,01-48243133,NO FAX,Yes,Yes,Yes,01/11/2025
732,A.L. - WARISAN BERSATU SDN. BHD.,G1,PAHANG,KUANTAN,09-5141790,NO FAX,Yes,NO SPKK,NO STP,13/04/2024
733,A.L.D ENTERPRISE,G2,SARAWAK,MARUDI,019-8528280,0,Yes,Yes,Yes,20/12/2024
734,A.L.E.ENTERPRISE,G1,PERAK,KINTA,01-35293836,-,Yes,Yes,Yes,27/02/2025
735,A.L.M I CONTRACTOR,G1,SABAH,SANDAKAN,012-8623533,NO FAX,Yes,NO SPKK,NO STP,08/02/2025
736,A.M CHEMPAKA RESOURCES,G1,PAHANG,TEMERLOH,0148009905,NO FAX,Yes,Yes,Yes,27/09/2024
737,A.M CONSTRUCTION,G2,SABAH,TAWAU,011-2669237,0,Yes,NO SPKK,NO STP,29/09/2024
738,A.M DEVELOPMENT,G2,SABAH,LAHAD DATU,013-2063684,089884640,Yes,Yes,Yes,14/04/2024
739,A.M ENTERPRISE,G1,SABAH,PITAS,0138898737,0138898737,Yes,NO SPKK,NO STP,20/03/2024
740,A.M. 10 CONSTRUCTION ENTERPRISE,G1,WILAYAH PERSEKUTUAN KUALA LUMPUR,KUALA LUMPUR,03-42668287,NO FAX,Yes,Yes,Yes,15/02/2024
741,A.M. QAYYUM RESOURCES,G1,NEGERI SEMBILAN,PORT DICKSON,01-12711157,NO FAX,Yes,Yes,Yes,28/06/2025
742,A.M. UNGGUL CONSTRUCTION,G1,KELANTAN,KOTA BHARU,01-05708181,NO FAX,Yes,Yes,Yes,13/11/2024
743,A.M.A ENGINEERING,G1,SARAWAK,SAMARAHAN,013-8070579,NO FAX,Yes,NO SPKK,NO STP,02/06/2024
744,A.M.A ENTERPRISE,G1,SARAWAK,KUCHING,014-6973028,0,Yes,NO SPKK,NO STP,27/09/2026
745,A.M.A. CONSTRUCTION,G1,JOHOR,SEGAMAT,11-19281958,0,Yes,Yes,NO STP,11/10/2025
746,A.M.A. GLOBAL,G1,SELANGOR,SEPANG,01-96126625,0,Yes,NO SPKK,NO STP,01/08/2025
747,A.M.A.B BINA ENTERPRISE SDN. BHD.,G1,TERENGGANU,KUALA TERENGGANU,096672502,-,Yes,Yes,Yes,21/10/2025
748,A.M.CONSTRUCTION ENTERPRISE,G1,JOHOR,JOHOR BAHRU,078834478,-,Yes,Yes,Yes,09/11/2024
749,A.M.E. LEGACY,G1,KEDAH,KUBANG PASU,60134996263,NO FAX,Yes,Yes,Yes,09/06/2026
750,A.M.ENTERPRISE,G1,SELANGOR,KLANG,-,-,Yes,Yes,Yes,25/09/2025
751,A.M.F ENTERPRISE,G1,SARAWAK,KUCHING,011-1407978,0,Yes,NO SPKK,NO STP,10/10/2025
752,A.M.H ENTERPRISE,G1,SARAWAK,MUKAH,013-5707152,NO FAX,Yes,NO SPKK,NO STP,29/11/2024
753,A.M.HASIL KURNIA ENTERPRISE,G1,TERENGGANU,DUNGUN,0196699778,0,Yes,Yes,Yes,27/09/2024
754,A.M.I. CONSTRUCTION SENDIRIAN BERHAD.,G7,PERLIS,PERLIS,049808888,049806888,Yes,Yes,Yes,02/07/2026
755,A.M.I. TAWAQAL RESOURCES,G1,TERENGGANU,DUNGUN,09-6315929,NO FAX,Yes,Yes,Yes,21/09/2025
756,A.M.J KONTRAKTOR,G1,SABAH,BEAUFORT,087221899,-,Yes,NO SPKK,NO STP,06/03/2024
757,A.M.J. ENTERPRISE,G1,SABAH,Ranau,0198809995,-,Yes,NO SPKK,NO STP,31/07/2024
758,A.M.J.B.ENTERPRISE,G2,PAHANG,BENTONG,092236954,092236955,Yes,Yes,Yes,29/04/2025
759,A.M.N CONSTRUCTION ENTERPRISE,G2,SARAWAK,KUCHING,000-000000,000-000000,Yes,Yes,NO STP,25/02/2026
760,A.M.N.ENTERPRISE,G1,KEDAH,YAN,044695475,-,Yes,Yes,Yes,23/04/2026
761,A.M.R BERSATU ENTERPRISE,G1,SABAH,Kota Kinabalu,-,-,Yes,NO SPKK,NO STP,24/07/2025
762,A.M.S. BERKAT ENTERPRISE,G1,KELANTAN,JELI,---,NO FAX,Yes,Yes,Yes,05/04/2025
763,A.M.S. ENGINEERING SDN. BHD.,G3,SELANGOR,,03-55131099,0355131089,Yes,NO SPKK,NO STP,09/09/2026
764,A.MANAN BIN A.RAHMAN,G1,TERENGGANU,HULU TERENGGANU,013-9522797,-,Yes,Yes,Yes,20/09/2024
765,A.MARZ ENTERPRISE,G1,JOHOR,KLUANG,0127574433,077733550,Yes,Yes,Yes,04/09/2024
766,A.N ENTERPRISE,G1,SABAH,LAHAD DATU,013-4077938,NO FAX,Yes,NO SPKK,NO STP,22/09/2024
767,A.N. INTERIOR DESIGN CONTRACTOR,G1,SABAH,SANDAKAN,089632977,089632877,Yes,Yes,Yes,17/12/2024
768,A.N. NUSANTARA ENTERPRISE,G1,PULAU PINANG,BARAT DAYA,01-39552154,NO FAX,Yes,Yes,Yes,13/07/2024
769,A.N.A. BERKAT BINA ENTERPRISE,G1,TERENGGANU,KUALA TERENGGANU,60-16668515,60-96245204,Yes,Yes,Yes,27/10/2025
770,A.N.ADHA ENTERPRISE,G1,KELANTAN,MACHANG,019-9774438,TIADA,Yes,Yes,Yes,26/06/2024
771,A.N.I. BUILDING & CONSTRUCTION,G1,NEGERI SEMBILAN,REMBAU,01-82304610,NO FAX,Yes,Yes,Yes,01/02/2025
772,A.N.I.Q. SINAR ENTERPRISE,G1,NEGERI SEMBILAN,JEMPOL,0,NO FAX,Yes,Yes,Yes,28/11/2023
773,A.N.K BARI BESAR ENTERPRISE,G1,TERENGGANU,SETIU,0199678294,098246914,Yes,Yes,Yes,01/12/2026
774,A.N.N.U.R. RIZQI MAJU TRADING,G1,SELANGOR,SEPANG,01-74991767,NO FAX,Yes,Yes,Yes,07/04/2026
775,A.N.P ENTERPRISE,G1,SABAH,PUTATAN,088769691,088769691,Yes,NO SPKK,NO STP,20/09/2024
776,A.N.R. ENGINEERING SENDIRIAN BERHAD,G4,KEDAH,KOTA SETAR,04-7310866,04-7315252,Yes,Yes,Yes,08/02/2026
777,A.N.T 569 ENTERPRISE,G2,JOHOR,KULAIJAYA,01-82364535,NO FAX,Yes,Yes,NO STP,08/02/2024
778,A.NEEDA ENTERPRISE,G1,WILAYAH PERSEKUTUAN KUALA LUMPUR,KUALA LUMPUR,0390547577,-,Yes,Yes,Yes,14/05/2025
779,A.O ENTERPRISE,G1,SABAH,Ranau,016-8373973,NO FAX,Yes,NO SPKK,NO STP,14/11/2026
780,A.O.B ENTERPRISE,G2,SABAH,Kota Kinabalu,0168338381,088243833,Yes,Yes,Yes,05/09/2024
781,A.P.E.E. ENGINEERING SDN. BHD.,G5,PULAU PINANG,TIMOR LAUT,042833888,042823888,Yes,Yes,NO STP,27/09/2026
782,A.R ADVANCED ENTERPRISE,G2,SELANGOR,KUALA LANGAT,01-33370766,NO FAX,Yes,Yes,Yes,14/06/2026
783,A.R BUILDER CONSTRUCTION,G4,SARAWAK,KUCHING,082237471,082646623,Yes,Yes,Yes,12/09/2024
784,A.R ENTERPRISE,G1,SABAH,KOTA MARUDU,019-8626725,-,Yes,NO SPKK,NO STP,10/11/2024
785,A.R IHSAN ENTERPRISE,G1,SELANGOR,HULU SELANGOR,01-87777235,NO FAX,Yes,Yes,Yes,08/06/2025
786,A.R. ENTERPRISE,G1,SARAWAK,MUKAH,013-3778482,NO FAX,Yes,NO SPKK,NO STP,29/11/2024
787,A.R. PERKASA ENGINEERING,G2,JOHOR,JOHOR BAHRU,01-97294243,07-3333351,Yes,NO SPKK,NO STP,26/02/2025
788,A.R. RESOURCES ENTERPRISE,G1,SARAWAK,BETONG,014-8300212,NO FAX,Yes,NO SPKK,NO STP,06/03/2025
789,A.R. SERASI SDN. BHD.,G3,KELANTAN,KOTA BHARU,097011000,-,Yes,Yes,Yes,22/04/2025
790,A.R.A ENTERPRISE,G2,SABAH,LAHAD DATU,016-8467477,NO FAX,Yes,NO SPKK,NO STP,27/10/2025
791,A.R.A. STAR CONSTRUCTION,G3,SELANGOR,PETALING,0,NO FAX,Yes,NO SPKK,NO STP,14/02/2025
792,A.R.A.S ENTERPRISE,G1,SARAWAK,Asajaya,016-8703760,0,Yes,NO SPKK,NO STP,13/09/2025
793,A.R.A.S. MEGA TRADING,G1,KELANTAN,PASIR PUTEH,01-39938993,NO FAX,Yes,Yes,Yes,27/08/2024
794,A.R.ATHIQAH ENTERPRISE,G1,PERLIS,PERLIS,01-74339651,NO FAX,Yes,Yes,Yes,10/04/2025
795,A.R.E. ELECTRICAL ENGINEERING,G7,SARAWAK,KUCHING,082458341,082578341,Yes,Yes,Yes,05/10/2024
796,A.R.ENTERPRISE,G1,KELANTAN,JELI,0179993335,-,Yes,Yes,Yes,14/08/2026
797,A.R.ENTERPRISE,G1,KELANTAN,PASIR PUTEH,-,-,Yes,Yes,Yes,03/01/2025
798,A.R.HIJRAH ENTERPRISE,G1,SELANGOR,PETALING,0378658885,-,Yes,Yes,Yes,04/03/2024
799,A.R.I. ENTERPRISE,G1,KEDAH,POKOK SENA,047876063,049172686,Yes,Yes,Yes,11/03/2025
800,A.R.K ENTERPRISE,G1,JOHOR,SEGAMAT,019-7771947,07-9310030,Yes,Yes,Yes,25/10/2024
801,A.R.L LEGACY,G1,KELANTAN,TUMPAT,019-9823695,NO FAX,Yes,Yes,Yes,07/08/2025
802,A.R.M. CENTURY (M) SDN. BHD.,G2,SARAWAK,MIRI,085-424770,085-426770,Yes,NO SPKK,NO STP,18/02/2024
803,A.R.M. SYNERGY,G1,KELANTAN,PASIR MAS,01-02324250,NO FAX,Yes,Yes,Yes,20/07/2026
804,A.R.T.S CONSTRUCTION & ENGINEERING,G5,SABAH,Kota Kinabalu,0168322535,-,Yes,Yes,Yes,17/10/2024
805,A.RAHIS SDN. BHD.,G6,SELANGOR,PETALING,0361572498,0361572697,Yes,Yes,Yes,19/01/2026
806,A.RAHMAN BIN AHMAD,G1,TERENGGANU,DUNGUN,013-9217744,098276073,Yes,Yes,Yes,12/12/2026
807,A.RAHMAN BIN NGAH,G2,TERENGGANU,HULU TERENGGANU,09-6124243,-,Yes,Yes,Yes,16/01/2025
808,A.RAHMAN DECOR AND CONSTRUCTION,G1,JOHOR,KLUANG,0137746036,-,Yes,Yes,Yes,03/05/2024
809,A.RAHMAN RAJAB ENTERPRISE,G1,TERENGGANU,BESUT,01-96797175,NO FAX,Yes,Yes,Yes,26/10/2025
810,A.RASHID BIN JA ' FAR CONSTRUCTION SDN. BHD.,G1,JOHOR,MUAR,069518313,069516737,Yes,Yes,Yes,06/11/2025
811,A.RAZAK BIN YUNUS,G1,NEGERI SEMBILAN,TAMPIN,0127913218,0,Yes,Yes,Yes,24/03/2026
812,A.S ADIRAH ENTERPRISE,G1,MELAKA,JASIN,0,NO FAX,Yes,Yes,Yes,22/02/2026
813,A.S CONSTRUCTION ENTERPRISE,G1,SABAH,Papar,016-8230558,NO FAX,Yes,Yes,NO STP,13/12/2024
814,A.S ENTERPRISE,G1,SABAH,Ranau,010-7787044,NO FAX,Yes,NO SPKK,NO STP,11/09/2025
815,A.S KEKAL TEGUH ENTERPRISE,G1,SABAH,Kota Kinabalu,11-12629892,NO FAX,Yes,Yes,Yes,26/03/2024
816,A.S KONTRAKTOR,G1,SABAH,Beluran,013-5445484,NO FAX,Yes,Yes,Yes,16/08/2025
817,A.S LEGACY ENTERPRISE,G1,SABAH,Tuaran,016-8046400,NO FAX,Yes,NO SPKK,NO STP,14/12/2025
818,A.S MIE ENTERPRISE,G1,TERENGGANU,SETIU,096571208,-,Yes,Yes,Yes,31/05/2025
819,A.S PROGRESIF,G2,SABAH,Papar,019-5838382,NO FAX,Yes,NO SPKK,NO STP,09/05/2026
820,A.S RIVERVIEW ENTERPRISE,G1,SARAWAK,Julau,013-8272623,0,Yes,NO SPKK,NO STP,24/05/2024
821,A.S UNGGUL TRADING,G2,PAHANG,BENTONG,01-29849284,NO FAX,Yes,NO SPKK,NO STP,21/09/2025
822,A.S. BERSAMA ENTERPRISE,G1,TERENGGANU,DUNGUN,00-,NO FAX,Yes,Yes,Yes,25/01/2026
823,A.S. CERGAS ENTERPRISE,G1,PULAU PINANG,BARAT DAYA,0,NO FAX,Yes,Yes,Yes,14/07/2026
